"type","code","message","context","selector"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h1 class=\"uitk-heading uitk-heading-6 sr-only\">Expedia Travel: Search Hotels, ...</h1>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(1) > h1"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<h2 class=\"uitk-heading uitk-heading-6 sr-only\">Search for travel</h2>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > h2"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<label class=\"uitk-field-label is-visually-hidden\">Going to</label>","#location-field-destination-menu > div > div > div:nth-child(1) > label"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">Going to</span>","#location-field-destination-menu > div > div > div:nth-child(1) > button > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Alpha","This element's text or background contains transparency. Ensure the contrast ratio between the text and background are at least 3:1.","<div class=\"uitk-text uitk-type-800 in-overlay-scrim\">Spring is on sale</div>","#editorial-banner-2127068 > div > figure > div:nth-child(2) > div > div:nth-child(1) > div:nth-child(1) > h2 > div"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Alpha","This element's text or background contains transparency. Ensure the contrast ratio between the text and background are at least 4.5:1.","<div class=\"uitk-text uitk-type-400 in-overlay-scrim uitk-layout-grid-item uitk-layout-grid-item-has-column-start uitk-layout-grid-item-has-column-start-by-medium\" style=\"--uitk-layoutgrid-column-start:span 1;--uitk-layoutgrid-column-start-medium:spa...","#editorial-banner-2127068 > div > figure > div:nth-child(2) > div > div:nth-child(1) > div:nth-child(2) > div"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Alpha","This element's text or background contains transparency. Ensure the contrast ratio between the text and background are at least 4.5:1.","<div class=\"uitk-text uitk-type-200 in-overlay-scrim\" data-testid=\"editorial-banner-term\">*Book by 11:59pm 4/2/23 in hote...</div>","#editorial-banner-2127068 > div > figure > div:nth-child(2) > div > div:nth-child(2) > div > div"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img alt=\"\" class=\"uitk-image-media\" src=\"https://a.travel-assets.com/mad-service/footer/bnaBanners/BEX_ROME_iStock_72dpi.jpg\">","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(6) > div:nth-child(2) > div > div > div > figure > div > img"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">Change or cancel a trip</span>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(6) > div:nth-child(3) > div > div > section > div > div > div:nth-child(1) > button > span"
"warning","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.","<span class=\"is-visually-hidden\">Use a credit or coupon</span>","#app-layer-base > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(6) > div:nth-child(3) > div > div > section > div > div > div:nth-child(2) > button > span"
