"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.09:1. Recommendation:  change text colour to #ed0e00.","<span class=\"feds-logo-text--default\">Adobe</span>","#gnt_1399 > span:nth-child(2) > span"
"notice","WCAG2AA.Principle1.Guideline1_2.1_2_1.G159,G166","If this embedded object contains pre-recorded video only, and is not provided as an alternative for text content, check that an alternative text version is available, or an audio track is provided that presents equivalent information.","<video class=\"video-desktop \" preload=\"none\" playsinline=\"\" muted=\"\">\n                   <source src...</video>","#id-229aa08a4e8fb846544e22999c917c92 > div:nth-child(1) > video"
"notice","WCAG2AA.Principle1.Guideline1_2.1_2_2.G87,G93","If this embedded object contains pre-recorded synchronised media and is not provided as an alternative for text content, check that captions are provided for audio content.","<video class=\"video-desktop \" preload=\"none\" playsinline=\"\" muted=\"\">\n                   <source src...</video>","#id-229aa08a4e8fb846544e22999c917c92 > div:nth-child(1) > video"
"notice","WCAG2AA.Principle1.Guideline1_2.1_2_4.G9,G87,G93","If this embedded object contains synchronised media, check that captions are provided for live audio content.","<video class=\"video-desktop \" preload=\"none\" playsinline=\"\" muted=\"\">\n                   <source src...</video>","#id-229aa08a4e8fb846544e22999c917c92 > div:nth-child(1) > video"
"notice","WCAG2AA.Principle1.Guideline1_2.1_2_5.G78,G173,G8","If this embedded object contains pre-recorded synchronised media, check that an audio description is provided for its video content.","<video class=\"video-desktop \" preload=\"none\" playsinline=\"\" muted=\"\">\n                   <source src...</video>","#id-229aa08a4e8fb846544e22999c917c92 > div:nth-child(1) > video"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"#mini-plans-web-cta-creative-cloud-card\" class=\"spectrum-Button spectrum-Button--cta\" target=\"_self\" daa-ll=\"Start free trial\" daa-lt=\"1\">\n        \n        \n            ...</a>","#id-f42e34a9e70e1cabd6aba6a2dd48637e > div > div:nth-child(1) > div > a"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.adobe.com/creativecloud.html\" class=\"spectrum-Link spectrum-Link--Black\" target=\"_self\" daa-ll=\"Explore Creative Cloud\" daa-lt=\"1\">\n        \n        \n            ...</a>","#id-2fb7af6b1c040e6c12d27de1fcae28fb > div > div > div > a"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"#mini-plans-web-cta-creative-cloud-card\" class=\"spectrum-Button spectrum-Button--cta\" target=\"_self\" daa-ll=\"Start free trial\" daa-lt=\"1\" data-cs-override-id=\"visible-cta_id_2\">\n        \n        \n            ...</a>","#id-ebfbff0628cc90839d3d065ea7b435a4 > div > div:nth-child(1) > div > a"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a href=\"https://www.adobe.com/creativecloud.html\" class=\"spectrum-Link\" target=\"_self\" daa-ll=\"Explore Creative Cloud\" daa-lt=\"1\" data-cs-override-id=\"visible-cta_id_3\">\n        \n        \n            ...</a>","#id-db7ea8690f540d4df207b28717e2b0a4 > div > div > div > a"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a id=\"gnf_23\" href=\"#\" class=\"feds-navLink feds-navLink--hoverCaret\" aria-haspopup=\"true\" aria-expanded=\"false\" data-feds-action=\"open-popup\" data-feds-element=\"link\" daa-ll=\"Products-1\" role=\"button\">\n        \n        <span class=\"...</a>","#gnf_23"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a id=\"gnf_396\" href=\"#\" class=\"feds-navLink feds-navLink--hoverCaret\" aria-haspopup=\"true\" aria-expanded=\"false\" data-feds-action=\"open-popup\" data-feds-element=\"link\" daa-ll=\"Blogs_Community-1\" role=\"button\">\n        \n        <span class=\"...</a>","#gnf_396"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a id=\"gnf_428\" href=\"#\" class=\"feds-navLink feds-navLink--hoverCaret\" aria-haspopup=\"true\" aria-expanded=\"false\" data-feds-action=\"open-popup\" data-feds-element=\"link\" daa-ll=\"Blogs_Community-1\" role=\"button\">\n        \n        <span class=\"...</a>","#gnf_428"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a id=\"gnf_460\" href=\"#\" class=\"feds-navLink feds-navLink--hoverCaret\" aria-haspopup=\"true\" aria-expanded=\"false\" data-feds-action=\"open-popup\" data-feds-element=\"link\" daa-ll=\"Blogs_Community-1\" role=\"button\">\n        \n        <span class=\"...</a>","#gnf_460"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a id=\"gnf_485\" href=\"#\" class=\"feds-navLink feds-navLink--hoverCaret\" aria-haspopup=\"true\" aria-expanded=\"false\" data-feds-action=\"open-popup\" data-feds-element=\"link\" daa-ll=\"Blogs_Community-1\" role=\"button\">\n        \n        <span class=\"...</a>","#gnf_485"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a id=\"gnf_612\" href=\"#\" class=\"feds-navLink feds-navLink--hoverCaret\" aria-haspopup=\"true\" aria-expanded=\"false\" data-feds-action=\"open-popup\" data-feds-element=\"link\" daa-ll=\"Support-1\" role=\"button\">\n        \n        <span class=\"...</a>","#gnf_612"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a id=\"gnf_678\" href=\"#\" class=\"feds-navLink feds-navLink--hoverCaret\" aria-haspopup=\"true\" aria-expanded=\"false\" data-feds-action=\"open-popup\" data-feds-element=\"link\" daa-ll=\"Support-1\" role=\"button\">\n        \n        <span class=\"...</a>","#gnf_678"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a id=\"gnf_699\" href=\"#\" class=\"feds-navLink feds-navLink--hoverCaret\" aria-haspopup=\"true\" aria-expanded=\"false\" data-feds-action=\"open-popup\" data-feds-element=\"link\" daa-ll=\"Support-1\" role=\"button\">\n        \n        <span class=\"...</a>","#gnf_699"
"notice","WCAG2AA.Principle2.Guideline2_4.2_4_4.H77,H78,H79,H80,H81","Check that the link text combined with programmatically determined link context identifies the purpose of the link.","<a id=\"gnf_717\" href=\"#\" class=\"feds-navLink feds-navLink--hoverCaret\" aria-haspopup=\"true\" aria-expanded=\"false\" data-feds-action=\"open-popup\" data-feds-element=\"link\" daa-ll=\"Adobe-1\" role=\"button\">\n        \n        <span class=\"...</a>","#gnf_717"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img src=\"https://t.co/i/adsct?bci=3&amp;eci=2&amp;event_id=cc0f61af-de8e-4a1a-9a39-04c956bb283c&amp;events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&amp;integration=advertiser&amp;p_id=Twitter&amp;p_user_id=0&amp;pl_id=aac9d613-47dd-4866-8050-96cb0b7f6e5e...","html > body > img:nth-child(21)"
"notice","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img src=\"https://t.co/i/adsct?bci=3&amp;eci=2&amp;event_id=cc0f61af-de8e-4a1a-9a39-04c956bb283c&amp;events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&amp;integration=advertiser&amp;p_id=Twitter&amp;p_user_id=0&amp;pl_id=aac9d613-47dd-4866-8050-96cb0b7f6e5e...","html > body > img:nth-child(21)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img src=\"https://analytics.twitter.com/i/adsct?bci=3&amp;eci=2&amp;event_id=cc0f61af-de8e-4a1a-9a39-04c956bb283c&amp;events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&amp;integration=advertiser&amp;p_id=Twitter&amp;p_user_id=0&amp;pl_id=aac9d613-47dd-4866-...","html > body > img:nth-child(22)"
"notice","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img src=\"https://analytics.twitter.com/i/adsct?bci=3&amp;eci=2&amp;event_id=cc0f61af-de8e-4a1a-9a39-04c956bb283c&amp;events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&amp;integration=advertiser&amp;p_id=Twitter&amp;p_user_id=0&amp;pl_id=aac9d613-47dd-4866-...","html > body > img:nth-child(22)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"//servedby.flashtalking.com/container/13539;99030;10307;iframe/?ftXRef=&amp;ftXValue=&amp;ftXType=&amp;ftXName=&amp;ftXNumItems=&amp;ftXCurrency=&amp;U1=&amp;U2=&amp;U3=26015891941053710810867750534429048391&amp;U4=adobe.com&amp;U5=&amp;...","html > body > iframe:nth-child(23)"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img src=\"https://pt.ispot.tv/v2/TC-4078-1.gif?app=web&amp;type=visit&amp;cid=26015891941053710810867750534429048391&amp;uid=&amp;refid=\" alt=\"\" height=\"1\" width=\"1\" border=\"0\" style=\"display: none;\">","html > body > img:nth-child(24)"
"notice","WCAG2AA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","<img src=\"https://pt.ispot.tv/v2/TC-4078-1.gif?app=web&amp;type=visit&amp;cid=26015891941053710810867750534429048391&amp;uid=&amp;refid=\" alt=\"\" height=\"1\" width=\"1\" border=\"0\" style=\"display: none;\">","html > body > img:nth-child(24)"
"warning","WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2","Img element is marked so that it is ignored by Assistive Technology.","<img src=\"https://pt.ispot.tv/v2/TC-4078-1.gif?app=web&amp;type=visit_home&amp;cid=26015891941053710810867750534429048391&amp;uid=&amp;refid=\" alt=\"\" height=\"1\" width=\"1\" border=\"0\" style=\"display: none;\">","html > body > img:nth-child(25)"
