type,code,message,context,selector,category
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<a class=""nv00-gnb__l0-menu-link"" href=""/us/shop/outlet/"" an-tr=""nv00_gnb-1depth-navigation2"" an-ca=""navigation"" an-ac=""gnb"" an-la=""outlet"" role=""menuitem"">",div.nv00-gnb__l0-menu-wrap > ul.nv00-gnb__l0-menu-list > li.nv00-gnb__l0-menu > a.nv00-gnb__l0-menu-link,cat.aria
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<button class=""nv00-gnb__l0-menu-btn"" role=""menuitem"" aria-expanded=""false"" aria-haspopup=""true"" an-la=""explore"">",div.nv00-gnb__l0-menu-wrap > ul.nv00-gnb__l0-menu-list > li.nv00-gnb__l0-menu > button.nv00-gnb__l0-menu-btn,cat.aria
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<button class=""nv00-gnb__l0-menu-btn"" role=""menuitem"" aria-expanded=""false"" aria-haspopup=""true"" an-la=""support"">",div.nv00-gnb__l0-menu-wrap > ul.nv00-gnb__l0-menu-list > li.nv00-gnb__l0-menu > button.nv00-gnb__l0-menu-btn,cat.aria
critical,wcag131,"Fix any of the following:
  Required ARIA parents role not present: menu, menubar, group","<button class=""nv00-gnb__l0-menu-btn"" role=""menuitem"" aria-expanded=""false"" aria-haspopup=""true"" an-la=""for business"">",div.nv00-gnb__l0-menu-wrap > ul.nv00-gnb__l0-menu-list > li.nv00-gnb__l0-menu > button.nv00-gnb__l0-menu-btn,cat.aria
serious,wcag131,"Fix any of the following:
  List item does not have a <ul>, <ol> parent element without a role, or a role=""list""","<li class=""nv00-gnb__l0-menu"" data-index=""0"">",div.nv00-gnb__inner-wrap > div.nv00-gnb__l0-menu-wrap > ul.nv00-gnb__l0-menu-list > li.nv00-gnb__l0-menu,cat.structure
serious,wcag131,"Fix any of the following:
  List item does not have a <ul>, <ol> parent element without a role, or a role=""list""","<li class=""nv00-gnb__l0-menu"" data-index=""1"">",div.nv00-gnb__inner-wrap > div.nv00-gnb__l0-menu-wrap > ul.nv00-gnb__l0-menu-list > li.nv00-gnb__l0-menu,cat.structure
serious,wcag131,"Fix any of the following:
  List item does not have a <ul>, <ol> parent element without a role, or a role=""list""","<li class=""nv00-gnb__l0-menu"" data-index=""2"">",div.nv00-gnb__inner-wrap > div.nv00-gnb__l0-menu-wrap > ul.nv00-gnb__l0-menu-list > li.nv00-gnb__l0-menu,cat.structure
serious,wcag131,"Fix any of the following:
  List item does not have a <ul>, <ol> parent element without a role, or a role=""list""","<li class=""nv00-gnb__l0-menu"" data-index=""3"">",div.nv00-gnb__inner-wrap > div.nv00-gnb__l0-menu-wrap > ul.nv00-gnb__l0-menu-list > li.nv00-gnb__l0-menu,cat.structure
serious,wcag131,"Fix any of the following:
  List item does not have a <ul>, <ol> parent element without a role, or a role=""list""","<li class=""nv00-gnb__l0-menu"" data-index=""4"">",div.nv00-gnb__inner-wrap > div.nv00-gnb__l0-menu-wrap > ul.nv00-gnb__l0-menu-list > li.nv00-gnb__l0-menu,cat.structure
serious,wcag131,"Fix any of the following:
  List item does not have a <ul>, <ol> parent element without a role, or a role=""list""","<li class=""nv00-gnb__l0-menu"" data-index=""5"">",div.nv00-gnb__inner-wrap > div.nv00-gnb__l0-menu-wrap > ul.nv00-gnb__l0-menu-list > li.nv00-gnb__l0-menu,cat.structure
